-2,-2,-2,-5,-6,-6,-1,-2
0,1,0,1,-1,-1,-3,-1
-2,-1,0,-3,2,2,-1,1
-1,0,1,3,-1,1,2,2
0,0,-1,-1,1,-1,2,-1
1,0,-1,1,3,2,-2,-1
-1,1,0,1,-1,-1,0,-3
-1,-7,-3,-3,-6,-4,-1,-3
-2,-2,-2,-6,-3,-5,-1,-1
-2,2,2,1,-5,-4,1,1
-1,0,-1,-1,-2,-1,-2,-2
-3,-5,-3,1,3,4,1,-2
1,0,2,5,3,1,-2,-1
-1,0,-1,-6,2,-2,0,0
-3,-4,-6,-5,-1,-5,-2,1
2,3,-2,-6,-4,-5,-4,-2
0,0,0,-3,0,1,0,0
-2,-1,0,3,3,2,2,-1
1,1,0,0,0,2,1,0
-1,3,0,0,-1,-2,-1,-2
-1,-3,-4,-1,-2,-2,-3,-1
-3,-1,1,-2,0,-1,-2,-1
1,-2,0,-1,-1,-1,1,-1
0,2,0,0,0,0,1,1
-2,-2,-3,-1,-2,-5,-1,-1
-1,-1,0,0,2,5,-1,-1
-2,-4,-3,1,1,-1,-2,-1
0,2,-2,-4,-8,-6,-2,-1
-2,0,-1,-3,0,-2,-3,-1
-1,-2,-2,-4,-5,-4,-3,-2
1,0,0,0,0,1,-2,-2
-1,-1,0,2,3,1,1,1
0,1,0,2,1,2,1,1
0,5,0,-5,-3,-4,-2,-2
0,-10,-2,-3,-4,-4,-2,1
0,-1,-2,-5,-3,-3,-4,-2
-2,-2,-3,-8,-17,-7,-4,-4
0,4,1,2,6,2,1,1
-1,2,1,7,12,4,2,-1
1,0,2,0,-1,2,1,1
-1,-4,-4,-8,-18,-10,-5,-2
-2,-5,-2,-2,4,3,0,-2
1,1,1,7,15,4,5,0
1,2,1,6,7,-1,-4,1
1,3,3,7,4,7,3,0
-3,-4,-4,-7,-15,-17,-13,-4
-5,-7,-5,-11,-26,-19,-12,-6
0,1,-4,-11,-7,7,9,-2
1,0,3,5,8,5,-1,4
-3,-6,-7,2,8,12,7,-1
3,7,9,12,13,-3,-8,3
-6,-7,-10,-12,-18,-15,-9,-6
0,1,5,4,2,25,23,1
2,-3,-4,-4,3,-5,-7,-1
-1,1,1,3,3,1,-2,-2
2,4,6,3,13,1,-4,1
-3,-2,4,5,-2,-18,-17,-7
-6,-12,-20,-19,-19,-5,0,-2
3,8,3,-11,-9,-3,1,-1
-6,-11,-8,-2,-7,-4,-3,-3
-1,4,5,0,11,5,0,-2
-2,1,14,15,4,-2,3,-1
-6,-8,-13,-6,-6,3,-4,-7
6,9,9,8,1,-5,-4,0
-3,-2,2,-2,11,5,8,-1
-2,-8,-22,-25,-8,1,-3,-1
-2,-4,-8,-6,-9,-9,-6,-2
0,-6,1,11,2,-7,-13,-2
-2,1,8,9,2,11,11,-3
5,12,23,10,6,0,4,5
-4,-22,-56,-37,-17,-9,-5,-7
7,5,12,10,10,12,9,6
3,1,-4,1,-4,-19,-21,-4
-3,-2,7,3,1,2,1,-3
-1,10,21,15,1,0,-3,0
1,3,2,-15,-10,-10,-6,1
-6,-20,-24,-1,1,-4,-4,-2
-1,5,12,10,-2,-1,2,1
1,-10,-24,-30,-11,1,3,-2
4,11,13,12,12,6,7,7
1,1,3,-12,-3,-1,5,5
-7,-5,-3,15,8,0,-4,-1
-6,3,22,12,-3,1,3,-2
0,-2,4,-6,-2,2,1,-4
0,-2,-24,-14,-12,-14,-26,-5
-16,-11,-8,1,-2,-1,6,-14
-3,13,6,-5,3,0,-12,12
-2,-19,-4,-1,-3,9,28,-7
3,-8,-2,2,0,-2,-3,6
0,4,9,4,-1,-5,-10,-5
-3,9,1,-1,-8,-1,1,-4
0,-4,-14,-4,7,3,1,6
9,21,5,1,3,1,-6,4
-22,-47,-16,-6,-4,1,2,-13
-1,-9,8,14,4,-4,2,2
0,18,10,-8,-12,-16,-14,-8
-7,3,-17,-5,-3,3,10,-1
24,27,9,4,2,4,5,23
15,13,21,3,0,-1,-10,-20
-19,-23,-9,-1,1,-2,-1,-3
-1,2,3,-2,-4,-7,-5,-10
18,-5,-11,-2,-1,-2,-6,-2
1,23,8,-1,5,9,25,32
9,-9,-8,0,0,2,-8,-1
3,14,12,-3,-8,-11,-6,-11
27,19,-4,-1,-2,2,-12,0
-34,-49,-13,-11,-8,-7,-3,-14
9,0,5,10,12,8,14,22
-18,0,-5,-2,5,10,3,-7
-9,-23,-9,-13,-17,-15,-2,4
8,14,9,10,7,3,-1,-4
-4,11,-1,7,5,2,-6,5
7,-12,-1,-12,-15,-13,0,8
3,18,9,-2,2,-1,-9,-10
-17,3,-4,5,6,9,-2,-36
28,0,4,3,4,5,7,11
0,8,2,0,0,-6,0,-3
-5,-21,-12,1,4,2,4,17
0,-1,-5,-3,-5,15,18,-6
-21,8,6,4,-3,-17,-24,-31
2,-9,-1,1,6,8,0,6
-4,27,-11,-26,-11,-15,-13,-1
4,0,10,6,1,-6,-3,5
0,-3,-7,6,-8,12,16,1
-25,-12,11,-1,-6,-7,-11,-24
-1,12,-14,-17,4,5,5,-1
5,2,6,4,1,-11,-17,-2
-4,5,-3,-9,-6,-3,0,10
-13,-4,0,5,-8,-4,3,-12
7,5,22,20,10,8,6,8
-1,11,-4,3,6,2,-5,-4
-7,-4,-16,-23,-12,-25,-15,8
10,14,5,6,15,45,48,-5
-20,-51,2,1,1,4,1,-2
13,-5,0,4,-6,-7,-3,0
-11,-7,-6,1,-5,-7,-5,-7
-6,-1,4,0,4,-4,-8,5
4,18,-11,-18,-9,-5,5,1
4,-12,-6,2,-1,2,7,22
-5,4,6,7,1,-2,-10,-29
